,ag_cat,소득notnull여부,Target
0,"-1, 21",0,176700.0
1,"-1, 21",1,12991600.0
2,"-1, 21",2,6309400.0
3,"-1, 21",3,540300.0
4,"21, 24",0,842300.0
5,"21, 24",1,39426900.0
6,"21, 24",2,29252200.0
7,"21, 24",3,3314900.0
8,"24, 26",0,893000.0
9,"24, 26",1,33552800.0
10,"24, 26",2,29498100.0
11,"24, 26",3,4380300.0
12,"26, 29",0,1234100.0
13,"26, 29",1,40746200.0
14,"26, 29",2,41497700.0
15,"26, 29",3,6210700.0
16,"29, 34",0,1227400.0
17,"29, 34",1,30490000.0
18,"29, 34",2,32959200.0
19,"29, 34",3,7353900.0
20,"34, 37",0,224000.0
21,"34, 37",1,9100200.0
22,"34, 37",2,9681600.0
23,"34, 37",3,2757100.0
24,"37, 48",0,630000.0
25,"37, 48",1,17772500.0
26,"37, 48",2,15680000.0
27,"37, 48",3,4200700.0
28,"48, 100",0,347900.0
29,"48, 100",1,9610600.0
30,"48, 100",2,6821100.0
31,"48, 100",3,1667500.0
