년도,기업명,매출액,매출액성장률,매출액평균성장률,평균연봉
2015,쿠팡,1.13E+12,,,
2016,쿠팡,1.92E+12,68.99532504,,
2017,쿠팡,2.68E+12,40.12213581,,
2018,쿠팡,4.44E+12,65.21641958,,37788540
2019,쿠팡,7.15E+12,61.27068585,,39239808
2020,쿠팡,1.33E+13,85.93597092,64.30810744,35795988
2018,크래프톤,20000000000,,,43200000
2019,크래프톤,12000000000,-40,,48771672
2020,크래프톤,95000000000,691.6666667,325.8333333,49600000
2017,비바리퍼블리카,20591080000,,,
2018,비바리퍼블리카,54820880000,166.2360595,,46902756
2019,비바리퍼블리카,1.19E+11,116.5798324,,51000804
2020,비바리퍼블리카,1.77E+11,48.75848315,110.5247917,47697156
2018,위메프,4.29E+11,,,
2019,위메프,4.65E+11,8.362102597,,38722128
2020,위메프,3.85E+11,-17.19134403,-4.414620715,42139284
2017,무신사,67721260000,,,
2018,무신사,10816420000,-84.02802901,,35202588
2019,무신사,2.10E+11,1844.384186,,36266280
2020,무신사,3.01E+11,43.08010127,601.1454195,41955444
2017,지피클럽,49755790000,,,
2018,지피클럽,5.14E+11,932.5003582,,31250328
2019,지피클럽,4.49E+11,-12.66945155,,33171552
2020,지피클럽,4.02E+11,-10.46535312,303.1218512,31730424
2017,엘엔피코스메틱,3.16E+11,,,
2018,엘엔피코스메틱,3.14E+11,-0.473282985,,38218428
2019,엘엔피코스메틱,1.78E+11,-43.26577013,,40691340
2020,엘엔피코스메틱,1.75E+11,-1.983863755,-15.24097229,42043656
2018,에이프로젠바이오로직스,5497440000,,,33973620
2019,에이프로젠바이오로직스,10848740000,97.34167176,,33858456
2020,에이프로젠바이오로직스,14525350000,33.88974203,65.6157069,34562640
2017,야놀자,54527870000,,,
2018,야놀자,73884860000,35.49925937,,37686396
2019,야놀자,1.51E+11,104.8829219,,42657240
2020,야놀자,1.92E+11,26.55156851,55.64458326,45629508
2017,쏘카,1.21E+11,,,36440000
2018,쏘카,1.59E+11,31.66501487,,37870000
2019,쏘카,2.57E+11,61.00238364,,37960000
2020,쏘카,2.60E+11,1.199984416,31.28912764,39423345
